51 m = 3,51 m = 5,51 m = 10,150 m =3,150 m =5,100 m= 3,100 m= 5,100 m= 10,100 m= 20
586,641,766,12128,12314,42155,48857,48638,72909
549,527,748,12553,14668,38901,44110,52350,71121
503,561,770,12713,13619,39053,43527,48919,69265
514,547,819,13369,13228,40843,42757,46226,70081
497,625,749,12667,14256,40845,38543,57314,71160
534,552,749,11164,13828,41824,45519,46415,73308
501,558,747,12634,14880,38652,42812,56771,69170
507,548,724,13633,14422,46283,38822,51253,69164
519,553,748,12698,16037,36193,46295,47027,73842
558,569,753,11369,13900,38309,36645,51749,69983
550,540,754,13452,12884,37508,37623,50021,70464
470,557,748,12226,12829,39452,42426,49777,69866
505,598,718,12621,14081,41633,48208,52088,71455
576,642,752,12515,14288,40080,40532,46160,70678
559,561,763,10343,15020,41793,43156,51379,69127
514,535,792,12903,14173,37347,42380,55550,70677
524,568,737,13267,12131,39725,35225,53935,70454
460,602,750,13369,13446,37703,48257,47808,69759
529,562,748,12848,13581,36457,45406,56154,69959
549,554,766,11306,12768,42026,39029,46047,69393
483,551,752,13331,12268,36861,41453,50370,72399
564,563,748,12922,13413,41987,42324,51394,69095
489,614,750,11852,12428,33452,40956,50323,70248
587,548,755,13278,14243,34845,44382,49337,71280
505,587,759,12223,14371,39093,37814,55279,71059
512,601,762,12183,11761,38962,43066,47160,69216
454,534,730,13191,14426,38026,47381,54761,69112
571,591,722,11145,14167,36560,41762,56739,70908
524,600,762,12003,13444,42809,40374,51527,70459
498,584,730,13798,13952,41427,41899,49381,73180
